timestamp,va1,va2,va3,va4,va5,va6,va7
1581223106.457242051,-0.00969582,-0.0539676,6.36054e-05,-0.0640178,-0.038209,-0.0127581,0.0503328
1581223106.463729750,-0.00991189,-0.0558236,-3.7505e-05,-0.0664576,-0.0411405,-0.0118061,0.0538825
1581223106.469871552,-0.0121109,-0.0675913,-0.000165247,-0.0806644,-0.0502162,-0.0141326,0.0665221
1581223106.476550929,-0.00937364,-0.0528064,-7.17513e-05,-0.0634269,-0.0395541,-0.0105308,0.0520081
1581223106.482707410,-0.0104907,-0.0590275,-2.97477e-05,-0.0715608,-0.0427561,-0.0112046,0.052513
1581223106.488748302,-0.0104127,-0.0587208,8.82456e-05,-0.0707708,-0.0422311,-0.0111382,0.0479845
1581223106.495445063,-0.012099,-0.0657467,6.76965e-05,-0.0808245,-0.0476455,-0.0132983,0.0564717
1581223106.534869834,-0.00165345,-0.00891806,-3.02101e-06,-0.0105776,-0.00614872,-0.00201887,0.00811927
1581223106.541515645,-0.0653135,-0.375299,-4.73941e-05,-0.449202,-0.26114,-0.0919357,0.34533
1581223106.548581518,-0.00899578,-0.0551831,1.57868e-05,-0.0661534,-0.0395404,-0.0132765,0.0509261
1581223106.554792746,-0.00944769,-0.0580701,0,-0.0683828,-0.040305,-0.0135516,0.0529859
1581223106.561371576,-0.0104205,-0.0664959,4.83399e-05,-0.0807733,-0.0463683,-0.0131271,0.0576317
1581223106.567611366,-0.00827232,-0.0532405,8.2178e-05,-0.0651834,-0.0370483,-0.00788883,0.0466665
1581223106.573813677,-0.00844677,-0.0580274,-3.93005e-05,-0.0697645,-0.0399002,-0.00783783,0.0527531
1581223106.580767675,-0.00844768,-0.060468,-2.59936e-05,-0.0718356,-0.040133,-0.00770254,0.0595063
1581223106.586796572,-0.00778876,-0.0581348,-4.84273e-05,-0.069227,-0.0380681,-0.00700408,0.0576698
1581223106.592966248,-0.00886085,-0.0684111,-0.000157176,-0.0822329,-0.0478917,-0.00820265,0.0646978
1581223106.599367868,-0.00767263,-0.0576381,0.000108057,-0.0700165,-0.0428488,-0.00721089,0.0515471
1581223106.612973612,-0.00814651,-0.0548296,8.37474e-05,-0.0652884,-0.042133,-0.00612268,0.0504795
1581223106.659020661,-0.0131431,-0.0599597,-1.5383e-05,-0.0715209,-0.0455814,-0.0118945,0.0568076
1581223106.664897999,-0.0161631,-0.0656991,-6.65896e-05,-0.0795219,-0.0456031,-0.0143841,0.0613895
1581223106.671681427,-0.0130607,-0.0528586,1.81207e-05,-0.0638089,-0.0369249,-0.0127527,0.0486832
1581223106.677811055,-0.0135844,-0.056965,0.000107032,-0.0683015,-0.0406053,-0.0139737,0.0515546
1581223106.683977809,-0.0148166,-0.0671052,0.000105295,-0.0789929,-0.0474589,-0.0177454,0.0615059
1581223106.690491060,-0.010718,-0.0557775,-0.000220616,-0.0650523,-0.0391803,-0.0154978,0.0509425
1581223106.696655719,-0.00996502,-0.0572048,-0.00031835,-0.0679801,-0.0412569,-0.0166887,0.0548027
1581223106.702700771,-0.00980042,-0.0575109,-0.000138026,-0.0703284,-0.0412998,-0.0124329,0.0537939
1581223106.708969473,-0.0103132,-0.0659636,0.00015523,-0.0808367,-0.0472989,-0.00919745,0.0601133
1581223106.714989525,-0.00831024,-0.0585386,8.92536e-05,-0.070647,-0.0408094,-0.0060889,0.0546314
1581223106.721641713,-0.00727523,-0.0539662,9.89137e-05,-0.0631299,-0.0365182,-0.00592629,0.0503601
1581223106.761601769,-0.00788832,-0.0594329,3.31506e-05,-0.0710642,-0.0418179,-0.00859051,0.0548807
